DATENUM,DATE,SYMBOL,NAME,SECTOR,CMP,VALUATION,FAIRRANGE,PE,SECTORPE,MARKETCAP,MKCAPTYPE,TREND,FUNDAMENTAL,MOMENTUM,DERATIO,PRICETOSALES,PLEDGE,QBS,QBS%,AGS,AGS%,VALUATION_DCF,VALUATION_GRAHAM,VALUATION_EARNING,VALUATION_BOOKVALUE,VALUATION_SALES
20250112,12-Jan-2025,20MICRONS,20 Microns Limited,Metals & Mining,235.28,Undervalued,0-0,14.05,0,835,Micro Cap,Sell Trend,Great Financials,Strong Momentum,0.33,0.97,0.00,8(10),80%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,21STCENMGM,21st Century Management Services Limited,Financial Services,89.33,Undervalued,0-0,1.60,0,95,Micro Cap,Sell Trend,Moderate Financials,Good Momentum,0.00,0.61,0.00,5(10),50%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,360ONE,360 ONE WAM LIMITED,Financial Services,1129.1,Overvalued,0-0,47.45,0,43838,Small Cap,Sell Trend,Great Financials,Strong Momentum,0.00,14.61,43.25,10(10),100%,8(10),80%,0,0,0,0,0
20250112,12-Jan-2025,3IINFOLTD,3i Infotech Limited,Information Technology,28.08,Overvalued,0-0,0.00,0,477,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.15,0.62,0.00,1(10),10%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,3MINDIA,3M India Limited,Diversified,29693.95,Overvalued,0-0,59.02,0,33407,Mid Cap,Sell Trend,Great Financials,Good Momentum,0.00,8.19,0.00,9(10),90%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,3PLAND,3P Land Holdings Limited,Financial Services,55.1,Overvalued,0-0,46.53,0,97,Micro Cap,Sell Trend,Good Financials,Strong Momentum,0.00,37.82,0.00,6(10),60%,7(10),70%,0,0,0,0,0
20250112,12-Jan-2025,5PAISA,5Paisa Capital Limited,Financial Services,435.15,Fairly Valued,0-0,21.64,0,1360,Micro Cap,Sell Trend,Good Financials,Good Momentum,0.00,3.27,0.00,6(10),60%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,63MOONS,63 moons technologies limited,Information Technology,857.75,Fairly Valued,0-0,53.91,0,3949,Micro Cap,Buy Trend,Moderate Financials,Good Momentum,0.00,14.35,0.00,3(10),30%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,A2ZINFRA,A2Z Infra Engineering Limited,Construction,22.63,Overvalued,0-0,145.62,0,401,Micro Cap,Buy Trend,Poor Financials,Good Momentum,7.40,1.13,99.68,2(10),20%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AAATECH,AAA Technologies Limited,Information Technology,98.93,Overvalued,0-0,36.07,0,127,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.00,5.57,0.00,5(10),50%,3(7),43%,0,0,0,0,0
20250112,12-Jan-2025,AADHARHFC,Aadhar Housing Finance Limited,Financial Services,422.95,Fairly Valued,0-0,24.30,0,18218,Small Cap,Sell Trend,Great Financials,New Listing,0.00,7.04,0.00,8(10),80%,New Listing),15 May 24,0,0,0,0,0
20250112,12-Jan-2025,AAKASH,Aakash Exploration Services Limited,"Oil, Gas & Consumable Fuels",9.66,Fairly Valued,0-0,18.75,0,98,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.44,0.96,0.00,4(10),40%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,56,Undervalued,0-0,23.64,0,163,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.24,0.31,0.00,2(10),20%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,AARON,Aaron Industries Limited,Capital Goods,358.05,Fairly Valued,0-0,51.97,0,375,Micro Cap,Buy Trend,Good Financials,Strong Momentum,0.88,5.42,0.00,7(10),70%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AARTECH,Aartech Solonics Limited,Capital Goods,86.06,Fairly Valued,0-0,99.69,0,274,Micro Cap,Buy Trend,Good Financials,Strong Momentum,0.14,8.22,0.00,6(10),60%,4(5),80%,0,0,0,0,0
